TIME,TEMPERATURE_IN_BME,TEMPERATURE_OUT_BME,TEMPERATURE_C_BME,PRESSURE_IN_BME ,PRESSURE_OUT_BME,PRESSURE_C_BME,HUMIDITY_IN_BME,HUMIDITY_OUT_BME,HUMIDITY_C_BME
Sun Sep  4 01:05:34 2022,27.4,27.2,27.0,998.380,998.328,998.572,41.3 %,39.7 %,45.9 %
Sun Sep  4 01:05:42 2022,27.4,27.2,27.1,998.382,998.333,998.568,40.5 %,39.1 %,45.2 %
Sun Sep  4 01:05:50 2022,27.4,27.2,27.1,998.365,998.321,998.552,40.1 %,38.7 %,44.8 %
Sun Sep  4 01:05:57 2022,27.3,27.2,27.1,998.363,998.350,998.566,40.0 %,38.6 %,44.6 %
Sun Sep  4 01:06:05 2022,27.3,27.2,27.1,998.364,998.321,998.553,39.9 %,38.5 %,44.5 %
Sun Sep  4 01:06:13 2022,27.3,27.2,27.1,998.368,998.339,998.552,39.8 %,38.3 %,44.3 %
Sun Sep  4 01:06:20 2022,27.2,27.2,27.1,998.319,998.309,998.522,39.8 %,38.2 %,44.2 %
Sun Sep  4 01:06:28 2022,27.2,27.3,27.1,998.349,998.325,998.547,39.8 %,38.2 %,44.2 %
Sun Sep  4 01:06:36 2022,27.1,27.2,27.0,998.371,998.351,998.571,39.9 %,38.3 %,44.3 %
Sun Sep  4 01:06:44 2022,27.1,27.3,27.0,998.350,998.329,998.525,40.0 %,38.3 %,44.2 %
Sun Sep  4 01:06:51 2022,27.1,27.3,27.0,998.422,998.328,998.546,40.0 %,38.1 %,44.1 %
Sun Sep  4 01:06:59 2022,27.0,27.2,27.0,998.371,998.341,998.548,39.9 %,38.0 %,44.0 %
Sun Sep  4 01:07:07 2022,27.0,27.2,27.0,998.386,998.340,998.539,39.9 %,38.0 %,44.0 %
Sun Sep  4 01:07:14 2022,26.9,27.2,27.0,998.399,998.321,998.555,40.0 %,37.9 %,44.0 %
Sun Sep  4 01:07:22 2022,26.9,27.2,27.0,998.383,998.366,998.555,40.0 %,37.9 %,43.9 %
Sun Sep  4 01:07:30 2022,26.9,27.2,26.9,998.352,998.342,998.566,40.0 %,37.8 %,43.9 %
Sun Sep  4 01:07:38 2022,26.9,27.2,26.9,998.368,998.347,998.582,40.0 %,37.8 %,43.9 %
Sun Sep  4 01:07:45 2022,26.8,27.2,26.9,998.387,998.337,998.561,40.1 %,37.8 %,44.0 %
